time(s),temperature,atmospheric pressure,humidity,dewpoint,altitude,UV,lux
0,22.18953938523773,56.431182026813566,1029.7575664779301,12.9,1136.7,-0.021,153.0
1,22.164286374585934,56.36549710664322,1029.66051733032,12.8,1138.8,0.000,152.0
2,22.18953938523773,56.3342350057509,1029.678130083585,12.8,1139.8,0.000,141.0
3,22.184488782525296,56.28555061004848,1029.6957904840815,12.8,1141.4,0.000,149.0
3,22.184488782525296,56.226303661517086,1029.6428333804763,12.8,1143.3,0.000,143.0
4,22.184488782525296,56.18860051762688,1029.6957904840815,12.8,1144.6,0.000,146.0
5,22.179438180103897,56.145302426927955,1029.739928872387,12.8,1146.0,0.000,151.0
6,22.18953938523773,56.490426060692954,1029.651651320016,12.9,1134.7,0.000,132.0
6,22.40166496196762,58.00772455430393,1029.704183041449,13.5,1085.6,0.000,150.0
7,22.532981052459217,59.23641371207572,1029.7744727423806,13.9,1046.7,0.000,140.0
8,22.583487293496727,60.10051393575987,1029.7301614484868,14.2,1019.7,0.000,143.0
8,22.639044192252914,60.72255668165034,1029.7741409748583,14.4,1000.5,0.000,149.0
9,22.6743986007059,61.17666985708092,1029.7033546328184,14.6,986.5,0.000,139.0
10,22.70975302341976,61.51772993600637,1029.765059569321,14.7,976.1,0.000,147.0
11,22.755208730720916,61.76243720771028,1029.7913913017621,14.8,968.7,0.000,141.0
11,22.7956138236681,61.953058875214175,1029.755894043137,14.9,962.9,0.000,143.0
12,22.825917655602098,62.07315572526903,1029.7027577063,15.0,959.2,0.000,150.0
13,22.861272139434003,62.16661480415569,1029.7379475006558,15.0,956.4,0.000,138.0
14,22.896626637526786,62.26008537282689,1029.720118265265,15.1,953.5,0.000,146.0
14,22.916829214268365,62.33119679102908,1029.7553720841493,15.1,951.4,0.000,141.0
15,22.947133088111876,62.36516815265524,1029.5961659731468,15.2,950.3,0.000,143.0
16,22.9067279253155,62.476040031875485,1029.790763730255,15.1,947.1,0.000,149.0
17,22.846120216045527,62.10117420172482,1029.791026487243,15.0,958.4,0.000,138.0
17,22.825917655602098,61.41078708098283,1029.755769417902,14.8,979.3,0.000,108.0
18,22.88652535090223,61.17158506310315,1029.7024915744214,14.8,986.6,0.000,47.0
19,24.66942047039629,65.76595545330474,1029.7319526853141,17.7,849.6,0.000,20.0
20,26.59882658459828,70.54534913127652,1029.7895276451695,20.7,715.2,0.000,22.0
20,27.704971232474783,73.46229152354705,1029.7110385171454,22.5,636.4,0.000,14.0
21,27.26554223546409,74.08965015968327,1029.7216688201884,22.2,619.3,0.000,24.0
22,26.704894644394518,73.92651423124208,1029.760683816043,21.6,623.5,-0.005,13.0
23,26.40184338549152,73.82700146540894,1029.7934336600376,21.3,626.0,0.000,146.0
23,26.270521498681045,73.87618451066905,1029.751523577048,21.1,624.7,-0.005,154.0
24,26.129098148294723,74.00561104948513,1029.7186254013886,21.0,621.2,0.000,145.0
25,25.9674717415357,74.18736561452396,1029.7037751140263,20.9,616.3,-0.005,156.0
25,25.86140457406291,74.41661134693734,1029.7322610351205,20.9,610.2,0.000,151.0
26,25.59876261652098,74.5143505767571,1030.047236441617,20.6,607.7,0.000,166.0
27,24.644166745245457,74.25432130462198,1030.1930341246443,19.6,614.7,0.000,49.0
28,24.189600936719216,74.2070141096729,1030.2773871393347,19.1,616.1,0.000,44.0
28,24.078485208749772,74.28953560638878,1030.3492028000142,19.0,614.0,0.000,46.0
29,24.02797810623888,74.1886260375118,1029.7830762643532,19.0,616.6,0.000,44.0
30,24.07343449718901,74.25684734941329,1029.7560923365602,19.0,614.8,0.000,144.0
31,24.058282364252953,74.34708355979592,1029.78279391776,19.0,612.4,0.000,151.0
