time,dewpoint,altitude,UV,lux
0,13.5,1123.0,0.000,143.0
1,13.5,1125.2,0.000,136.0
2,13.4,1128.4,0.000,145.0
3,13.4,1130.2,0.000,138.0
3,13.3,1132.7,0.000,146.0
4,13.3,1130.6,0.000,146.0
5,13.3,1128.9,0.000,137.0
6,13.3,1126.5,0.000,260.0
6,13.4,1120.8,0.000,2.0
7,13.5,1116.6,0.000,0.0
8,13.5,1112.4,0.000,0.0
8,13.6,1108.7,0.000,0.0
9,13.6,1106.5,0.000,0.0
10,13.6,1104.3,0.000,0.0
11,13.7,1103.4,0.000,0.0
11,13.7,1103.0,0.000,0.0
12,13.7,1102.3,0.000,0.0
13,13.7,1100.4,0.000,0.0
14,13.7,1097.6,0.000,0.0
14,13.8,1095.2,0.000,0.0
15,13.8,1092.9,0.000,0.0
16,13.8,1090.8,0.000,0.0
17,13.8,1089.5,0.000,0.0
17,13.9,1088.2,0.000,0.0
18,13.9,1087.0,0.000,0.0
19,13.9,1086.4,0.000,1.0
20,13.9,1085.4,0.000,1.0
20,13.9,1084.4,0.000,0.0
21,13.9,1084.4,0.000,0.0
22,13.9,1083.9,0.000,1.0
22,13.9,1083.4,0.000,1.0
23,13.9,1081.7,0.000,1.0
24,13.9,1081.6,0.000,1.0
25,14.0,1081.1,0.000,1.0
25,13.9,1084.0,0.000,3.0
26,13.9,1089.0,0.000,4.0
27,13.8,1093.7,0.000,3.0
28,13.8,1098.0,0.000,7.0
28,13.7,1101.8,0.000,13.0
29,13.7,1105.7,0.000,28.0
30,13.7,1108.3,0.000,31.0
31,13.7,1109.2,0.000,53.0
31,13.7,1105.9,0.000,69.0
32,13.7,1105.1,-0.005,84.0
33,13.6,1107.0,-0.005,131.0
34,13.6,1110.7,-0.005,150.0
34,13.5,1115.1,-0.008,258.0
35,13.5,1118.8,-0.011,319.0
36,13.5,1117.3,-0.013,488.0
36,13.5,1117.2,-0.008,1021.0
37,13.5,1119.3,-0.012,1115.0
38,13.4,1120.4,-0.012,1578.0
39,13.5,1117.9,-0.012,1626.0
39,13.5,1115.4,-0.002,3498.0
40,13.5,1115.6,0.062,5381.0
41,13.5,1117.0,-0.095,817.0
42,13.4,1121.5,-0.057,26687.0
42,13.4,1124.4,-0.049,17450.0
43,13.3,1127.7,-0.056,36280.0
44,13.3,1129.0,-0.020,55264.0
45,13.3,1130.8,-0.017,65535.0
45,13.2,1131.3,-0.003,65535.0
46,13.2,1129.8,0.036,65535.0
47,13.2,1129.4,0.049,65535.0
48,13.2,1129.9,-0.122,65535.0
48,13.2,1132.3,-0.024,65535.0
49,13.1,1136.0,-0.012,5681.0
50,13.1,1139.7,-0.009,1855.0
51,13.1,1142.0,-0.011,1191.0
51,13.1,1144.3,-0.005,512.0
52,13.0,1147.1,0.000,362.0
53,13.0,1149.5,0.000,183.0
53,13.0,1151.4,0.000,108.0
54,13.0,1152.0,0.000,86.0
55,13.0,1152.4,0.000,64.0
56,13.0,1152.6,0.000,57.0
56,13.0,1152.5,0.000,45.0
57,13.0,1151.4,0.000,39.0
58,13.0,1151.2,0.000,34.0
59,13.0,1151.0,0.000,27.0
59,13.0,1150.7,0.000,25.0
60,13.0,1151.2,0.000,18.0
61,13.0,1152.4,0.000,15.0
62,13.0,1153.9,0.000,13.0
62,13.0,1156.0,0.000,4.0
63,12.9,1159.6,0.000,3.0
64,12.9,1162.4,0.000,1.0
65,12.9,1160.8,0.000,1.0
