time,dewpoint,altitude,UV,lux
0,15.1,1434.4,-0.361,48255.0
1,15.1,1438.1,-0.005,149.0
2,15.0,1440.8,-0.005,146.0
3,15.0,1445.4,-0.005,143.0
3,15.0,1448.9,0.000,154.0
4,15.0,1449.3,-0.005,91.0
5,15.0,1445.4,-0.005,122.0
6,15.0,1437.6,-0.005,120.0
6,15.1,1430.6,-0.005,118.0
7,15.1,1422.7,-0.005,122.0
8,15.2,1417.3,-0.005,116.0
9,15.2,1414.1,-0.005,123.0
9,15.2,1411.2,-0.005,122.0
10,15.2,1408.7,-0.011,119.0
11,15.3,1407.1,-0.005,124.0
11,15.3,1404.3,-0.005,180.0
12,15.3,1402.6,-0.011,80.0
13,15.3,1402.8,-0.011,151.0
14,15.3,1403.8,-0.005,137.0
14,15.3,1405.5,-0.005,149.0
15,15.3,1406.9,-0.005,142.0
16,15.3,1405.9,-0.011,147.0
17,15.3,1402.9,-0.005,152.0
17,15.3,1401.4,-0.005,128.0
18,15.3,1402.8,-0.005,148.0
19,15.3,1402.7,-0.005,141.0
20,15.3,1407.1,-0.005,146.0
20,15.2,1414.1,-0.005,148.0
21,15.2,1419.8,-0.011,138.0
22,15.1,1425.6,-0.005,147.0
23,15.1,1430.5,-0.005,141.0
23,15.0,1435.0,-0.005,151.0
24,15.0,1435.8,-0.011,146.0
25,15.0,1439.2,-0.005,99.0
26,15.0,1435.8,-0.005,149.0
26,15.0,1434.5,-0.005,136.0
27,14.9,1435.2,-0.011,146.0
28,14.9,1436.1,-0.005,151.0
29,14.9,1437.2,-0.005,140.0
29,14.9,1437.4,-0.005,147.0
30,14.9,1436.1,-0.005,142.0
31,14.9,1433.4,-0.005,145.0
31,14.9,1429.1,-0.005,151.0
32,14.9,1427.2,-0.005,140.0
33,14.9,1427.0,-0.005,147.0
34,15.0,1426.8,-0.011,140.0
34,15.0,1427.3,-0.005,146.0
35,15.0,1428.3,-0.005,151.0
36,15.0,1427.7,-0.005,140.0
37,15.0,1426.0,-0.005,147.0
37,15.0,1425.2,-0.011,140.0
38,15.0,1424.6,-0.011,146.0
39,15.0,1424.2,-0.005,150.0
40,15.0,1423.8,-0.011,139.0
40,15.0,1423.2,-0.005,148.0
41,15.1,1422.2,-0.005,139.0
42,15.1,1419.7,-0.011,147.0
43,15.1,1416.0,-0.005,151.0
43,15.1,1414.8,-0.011,141.0
44,15.1,1415.9,-0.005,147.0
45,15.1,1415.2,-0.005,140.0
46,15.1,1414.6,-0.005,137.0
46,15.1,1414.4,-0.011,148.0
47,15.1,1413.8,-0.011,139.0
48,15.2,1411.8,-0.011,147.0
48,15.2,1411.8,-0.011,139.0
49,15.2,1412.4,-0.005,147.0
50,15.2,1413.0,-0.011,150.0
51,15.2,1414.5,-0.005,140.0
51,15.2,1416.3,-0.011,148.0
52,15.1,1418.4,-0.011,140.0
53,15.2,1419.0,-0.011,148.0
54,15.2,1420.3,-0.005,150.0
54,15.2,1420.5,-0.005,142.0
55,15.2,1419.7,-0.005,151.0
56,15.2,1419.2,-0.005,143.0
57,15.2,1417.5,-0.011,151.0
57,15.2,1413.4,-0.005,153.0
58,15.2,1411.1,-0.011,144.0
59,15.1,1410.1,-0.005,151.0
60,15.1,1407.5,-0.011,144.0
60,15.1,1406.0,-0.005,151.0
61,15.1,1403.4,-0.011,153.0
62,15.1,1400.3,-0.011,144.0
62,15.1,1396.8,-0.005,151.0
63,15.1,1394.3,-0.005,144.0
64,15.1,1391.0,-0.011,151.0
65,15.1,1389.8,-0.005,153.0
65,15.1,1387.8,-0.005,144.0
66,15.1,1386.2,-0.011,151.0
67,15.2,1383.4,-0.011,143.0
68,15.2,1382.4,-0.005,151.0
68,15.2,1380.8,-0.011,153.0
69,15.2,1378.5,-0.011,143.0
70,15.2,1377.6,-0.011,151.0
71,15.2,1376.3,-0.011,143.0
71,15.2,1375.1,-0.011,151.0
72,15.2,1374.3,-0.005,152.0
73,15.2,1372.9,-0.005,143.0
74,15.2,1372.4,-0.011,150.0
74,15.2,1371.7,-0.011,143.0
75,15.2,1371.4,-0.011,151.0
76,15.2,1370.7,-0.011,152.0
77,15.2,1369.5,-0.011,144.0
77,15.2,1369.6,-0.011,151.0
78,15.1,1369.7,-0.005,143.0
79,15.1,1370.2,-0.011,151.0
79,15.2,1370.1,-0.005,152.0
80,15.1,1370.1,-0.005,144.0
81,15.1,1369.9,-0.005,151.0
82,15.2,1370.1,-0.011,143.0
82,15.2,1369.3,-0.005,151.0
83,15.2,1369.7,-0.011,152.0
84,15.2,1369.7,-0.011,144.0
85,15.2,1369.5,-0.011,151.0
85,15.2,1368.3,-0.011,143.0
86,15.2,1367.9,-0.005,151.0
87,15.2,1367.5,-0.005,152.0
88,15.2,1367.1,-0.011,144.0
88,15.2,1367.5,-0.011,151.0
89,15.2,1367.9,-0.005,143.0
90,15.2,1372.1,-0.005,151.0
91,15.1,1377.5,-0.011,152.0
91,15.1,1382.4,-0.011,144.0
92,15.1,1385.6,-0.011,151.0
93,15.0,1389.4,-0.005,143.0
94,15.0,1392.7,-0.005,151.0
94,15.0,1395.7,-0.005,151.0
95,15.0,1398.7,-0.011,144.0
96,14.9,1401.8,-0.005,151.0
96,14.9,1404.8,-0.005,143.0
97,14.9,1406.1,-0.005,151.0
98,14.9,1408.0,-0.005,150.0
99,14.9,1410.4,-0.011,144.0
99,14.9,1412.8,-0.005,151.0
100,14.8,1416.1,-0.011,143.0
101,14.8,1418.7,-0.011,151.0
102,14.8,1421.0,-0.005,151.0
102,14.8,1423.5,-0.011,144.0
103,14.8,1419.8,-0.005,145.0
104,14.9,1413.2,-0.011,135.0
105,14.9,1408.7,-0.011,139.0
105,14.9,1404.2,-0.011,140.0
106,14.7,1395.4,-0.005,226.0
107,14.8,1387.5,-0.011,92.0
108,14.8,1380.0,-0.015,144.0
108,14.8,1373.2,-0.005,326.0
109,14.8,1365.9,-0.005,45.0
110,14.9,1354.6,-0.011,0.0
111,15.0,1347.1,-0.005,106.0
111,15.0,1338.0,-0.005,150.0
